measuredElement,measuredItemCPC,geographicAreaM49,timePointYears,Value,flagObservationStatus,flagMethod
Production (t) (5510),Hop cones (01659),France (250),2013,611,"",q
Production (t) (5510),Hop cones (01659),France (250),2014,636,"",q
Production (t) (5510),Hop cones (01659),France (250),2015,590,"",q
Production (t) (5510),Hop cones (01659),France (250),2016,636,"",q
Production (t) (5510),Hop cones (01659),France (250),2017,628.5,"",q
Production (t) (5510),Hop cones (01659),France (250),2018,740,"",h
Production (t) (5510),Hop cones (01659),France (250),2019,770,"",h
Production (t) (5510),Hop cones (01659),France (250),2020,840,"",h
Production (t) (5510),Hop cones (01659),France (250),2021,950,"",h
Production (t) (5510),Hop cones (01659),France (250),2022,1100,"",h
Production (t) (5510),Hop cones (01659),France (250),2023,720,"",h
Production (t) (5510),Hop cones (01659),Italy (380),2018,0,"",h
Production (t) (5510),Hop cones (01659),Italy (380),2019,50,"",h
Production (t) (5510),Hop cones (01659),Italy (380),2020,70,"",h
Production (t) (5510),Hop cones (01659),Italy (380),2021,70,"",h
Production (t) (5510),Hop cones (01659),Italy (380),2022,170,"",h
Production (t) (5510),Hop cones (01659),Italy (380),2023,110,"",h
Production (t) (5510),"Other stimulant, spice and aromatic crops, n.e.c. (01699)",Italy (380),1990,0,"",-
Production (t) (5510),"Other stimulant, spice and aromatic crops, n.e.c. (01699)",Italy (380),1991,0,"",-
Production (t) (5510),"Other stimulant, spice and aromatic crops, n.e.c. (01699)",Italy (380),1992,0,"",-
Production (t) (5510),"Other stimulant, spice and aromatic crops, n.e.c. (01699)",Italy (380),1993,0,M,-
Production (t) (5510),"Other stimulant, spice and aromatic crops, n.e.c. (01699)",Italy (380),1994,0,M,-
Production (t) (5510),"Other stimulant, spice and aromatic crops, n.e.c. (01699)",Italy (380),1995,0,M,-
Production (t) (5510),"Other stimulant, spice and aromatic crops, n.e.c. (01699)",Italy (380),1996,0,M,-
Production (t) (5510),"Other stimulant, spice and aromatic crops, n.e.c. (01699)",Italy (380),1997,0,M,-
Production (t) (5510),"Other stimulant, spice and aromatic crops, n.e.c. (01699)",Italy (380),1998,0,M,-
Production (t) (5510),"Other stimulant, spice and aromatic crops, n.e.c. (01699)",Italy (380),1999,0,M,-
Production (t) (5510),"Other stimulant, spice and aromatic crops, n.e.c. (01699)",Italy (380),2000,0,M,-
Production (t) (5510),"Other stimulant, spice and aromatic crops, n.e.c. (01699)",Italy (380),2001,0,M,-
Production (t) (5510),"Other stimulant, spice and aromatic crops, n.e.c. (01699)",Italy (380),2002,0,M,-
Production (t) (5510),"Other stimulant, spice and aromatic crops, n.e.c. (01699)",Italy (380),2003,0,M,-
Production (t) (5510),"Other stimulant, spice and aromatic crops, n.e.c. (01699)",Italy (380),2004,0,M,-
Production (t) (5510),"Other stimulant, spice and aromatic crops, n.e.c. (01699)",Italy (380),2005,0,M,-
Production (t) (5510),"Other stimulant, spice and aromatic crops, n.e.c. (01699)",Italy (380),2006,0,M,-
Production (t) (5510),"Other stimulant, spice and aromatic crops, n.e.c. (01699)",Italy (380),2007,0,M,-
Production (t) (5510),"Other stimulant, spice and aromatic crops, n.e.c. (01699)",Italy (380),2008,0,M,-
Production (t) (5510),"Other stimulant, spice and aromatic crops, n.e.c. (01699)",Italy (380),2009,0,M,-
Production (t) (5510),"Other stimulant, spice and aromatic crops, n.e.c. (01699)",Italy (380),2010,0,M,-
Production (t) (5510),"Other stimulant, spice and aromatic crops, n.e.c. (01699)",Italy (380),2011,0,M,-
Production (t) (5510),"Other stimulant, spice and aromatic crops, n.e.c. (01699)",Italy (380),2012,0,M,-
Production (t) (5510),"Other stimulant, spice and aromatic crops, n.e.c. (01699)",Italy (380),2013,0,M,-
Production (t) (5510),"Other stimulant, spice and aromatic crops, n.e.c. (01699)",Italy (380),2014,0,M,-
Production (t) (5510),"Other stimulant, spice and aromatic crops, n.e.c. (01699)",Italy (380),2015,0,M,-
Production (t) (5510),"Other stimulant, spice and aromatic crops, n.e.c. (01699)",Italy (380),2016,0,M,-
Production (t) (5510),"Other stimulant, spice and aromatic crops, n.e.c. (01699)",Italy (380),2017,0,M,-
Production (t) (5510),Maize for forage and silage (01911),France (250),1990,44003000,"",-
Production (t) (5510),Maize for forage and silage (01911),France (250),1991,55173000,"",-
Production (t) (5510),Maize for forage and silage (01911),France (250),1992,61087000,"",-
Production (t) (5510),Maize for forage and silage (01911),France (250),1993,57047000,"",-
Production (t) (5510),Maize for forage and silage (01911),France (250),1994,56190000,"",-
Production (t) (5510),Maize for forage and silage (01911),France (250),1995,55070000,"",-
Production (t) (5510),Maize for forage and silage (01911),France (250),1996,47427000,"",-
Production (t) (5510),Maize for forage and silage (01911),France (250),1997,56730000,"",-
Production (t) (5510),Maize for forage and silage (01911),France (250),1998,57153000,"",-
Production (t) (5510),Maize for forage and silage (01911),France (250),1999,58598000,"",-
Production (t) (5510),Maize for forage and silage (01911),France (250),2000,52342000,"",-
Production (t) (5510),Maize for forage and silage (01911),France (250),2001,53691000,"",-
Production (t) (5510),Maize for forage and silage (01911),France (250),2002,49932000,"",-
Production (t) (5510),Maize for forage and silage (01911),France (250),2003,46762700,"",-
Production (t) (5510),Maize for forage and silage (01911),France (250),2004,49875000,"",-
Production (t) (5510),Maize for forage and silage (01911),France (250),2005,43600000,"",-
Production (t) (5510),Maize for forage and silage (01911),France (250),2006,42200000,T,-
Production (t) (5510),Maize for forage and silage (01911),France (250),2007,43074000,T,-
Production (t) (5510),Maize for forage and silage (01911),France (250),2008,4.4e+07,T,-
Production (t) (5510),Maize for forage and silage (01911),France (250),2009,44640000,T,-
Production (t) (5510),Maize for forage and silage (01911),France (250),2010,40550000,T,-
Production (t) (5510),Maize for forage and silage (01911),France (250),2011,47200000,T,-
Production (t) (5510),Maize for forage and silage (01911),France (250),2012,45288000,T,-
Production (t) (5510),Maize for forage and silage (01911),France (250),2013,46216290,"",q
Production (t) (5510),Maize for forage and silage (01911),France (250),2014,20399547,"",q
Production (t) (5510),Maize for forage and silage (01911),France (250),2015,17427495,"",q
Production (t) (5510),Maize for forage and silage (01911),France (250),2016,16269921,"",q
Production (t) (5510),Maize for forage and silage (01911),France (250),2017,19116190,"",q
Production (t) (5510),Maize for forage and silage (01911),France (250),2018,48810120,"",h
Production (t) (5510),Maize for forage and silage (01911),France (250),2019,46827300,"",h
Production (t) (5510),Maize for forage and silage (01911),France (250),2020,44887480,"",h
Production (t) (5510),Maize for forage and silage (01911),France (250),2021,50395420,"",h
Production (t) (5510),Maize for forage and silage (01911),France (250),2022,39271540,"",h
Production (t) (5510),Maize for forage and silage (01911),France (250),2023,49726130,"",h
Production (t) (5510),Maize for forage and silage (01911),Italy (380),1990,16202200,"",-
Production (t) (5510),Maize for forage and silage (01911),Italy (380),1991,15221500,"",-
Production (t) (5510),Maize for forage and silage (01911),Italy (380),1992,15205900,"",-
Production (t) (5510),Maize for forage and silage (01911),Italy (380),1993,16060200,"",-
Production (t) (5510),Maize for forage and silage (01911),Italy (380),1994,15382100,"",-
Production (t) (5510),Maize for forage and silage (01911),Italy (380),1995,15283500,"",-
Production (t) (5510),Maize for forage and silage (01911),Italy (380),1996,16700000,"",-
Production (t) (5510),Maize for forage and silage (01911),Italy (380),1997,15693200,"",-
Production (t) (5510),Maize for forage and silage (01911),Italy (380),1998,14909000,"",-
Production (t) (5510),Maize for forage and silage (01911),Italy (380),1999,15051700,"",-
Production (t) (5510),Maize for forage and silage (01911),Italy (380),2000,13517200,"",-
Production (t) (5510),Maize for forage and silage (01911),Italy (380),2001,14868100,"",-
Production (t) (5510),Maize for forage and silage (01911),Italy (380),2002,14877700,"",-
Production (t) (5510),Maize for forage and silage (01911),Italy (380),2003,12987400,"",-
Production (t) (5510),Maize for forage and silage (01911),Italy (380),2004,14841000,"",-
Production (t) (5510),Maize for forage and silage (01911),Italy (380),2005,14334200,"",-
Production (t) (5510),Maize for forage and silage (01911),Italy (380),2006,14223000,"",-
Production (t) (5510),Maize for forage and silage (01911),Italy (380),2007,14290200,"",-
Production (t) (5510),Maize for forage and silage (01911),Italy (380),2008,14272400,"",-
Production (t) (5510),Maize for forage and silage (01911),Italy (380),2009,13593100,"",-
Production (t) (5510),Maize for forage and silage (01911),Italy (380),2010,14088700,"",-
Production (t) (5510),Maize for forage and silage (01911),Italy (380),2011,15620800,"",-
Production (t) (5510),Maize for forage and silage (01911),Italy (380),2012,15151400,"",q
Production (t) (5510),Maize for forage and silage (01911),Italy (380),2013,15083700,"",q
Production (t) (5510),Maize for forage and silage (01911),Italy (380),2014,19046500,"",q
Production (t) (5510),Maize for forage and silage (01911),Italy (380),2015,16394100,"",p
Production (t) (5510),Maize for forage and silage (01911),Italy (380),2016,17113700,"",q
Production (t) (5510),Maize for forage and silage (01911),Italy (380),2017,16023900,"",q
Production (t) (5510),Maize for forage and silage (01911),Italy (380),2018,22038090,"",h
Production (t) (5510),Maize for forage and silage (01911),Italy (380),2019,22306850,"",h
Production (t) (5510),Maize for forage and silage (01911),Italy (380),2020,24648500,"",h
Production (t) (5510),Maize for forage and silage (01911),Italy (380),2021,24017570,"",h
Production (t) (5510),Maize for forage and silage (01911),Italy (380),2022,21060380,"",h
Production (t) (5510),Maize for forage and silage (01911),Italy (380),2023,22904430,"",h
Production (t) (5510),Alfalfa for forage and silage (01912),France (250),1990,1.4e+07,T,-
Production (t) (5510),Alfalfa for forage and silage (01912),France (250),1991,14470000,T,-
Production (t) (5510),Alfalfa for forage and silage (01912),France (250),1992,17485000,T,-
Production (t) (5510),Alfalfa for forage and silage (01912),France (250),1993,17395000,T,-
Production (t) (5510),Alfalfa for forage and silage (01912),France (250),1994,16165000,T,-
Production (t) (5510),Alfalfa for forage and silage (01912),France (250),1995,14455000,T,-
Production (t) (5510),Alfalfa for forage and silage (01912),France (250),1996,12815000,T,-
Production (t) (5510),Alfalfa for forage and silage (01912),France (250),1997,13507000,T,-
Production (t) (5510),Alfalfa for forage and silage (01912),France (250),1998,14743000,T,-
Production (t) (5510),Alfalfa for forage and silage (01912),France (250),1999,14394000,T,-
Production (t) (5510),Alfalfa for forage and silage (01912),France (250),2000,14500000,T,-
Production (t) (5510),Alfalfa for forage and silage (01912),France (250),2001,11916700,T,-
Production (t) (5510),Alfalfa for forage and silage (01912),France (250),2002,11677900,T,-
Production (t) (5510),Alfalfa for forage and silage (01912),France (250),2003,10825380,T,-
Production (t) (5510),Alfalfa for forage and silage (01912),France (250),2004,11750000,T,-
Production (t) (5510),Alfalfa for forage and silage (01912),France (250),2005,13046140,T,-
Production (t) (5510),Alfalfa for forage and silage (01912),France (250),2006,13306775,"",-
Production (t) (5510),Alfalfa for forage and silage (01912),France (250),2007,1.3e+07,E,f
Production (t) (5510),Alfalfa for forage and silage (01912),France (250),2008,13500000,E,f
Production (t) (5510),Alfalfa for forage and silage (01912),France (250),2009,1.4e+07,E,f
Production (t) (5510),Alfalfa for forage and silage (01912),France (250),2010,1.4e+07,E,f
Production (t) (5510),Alfalfa for forage and silage (01912),France (250),2011,1.4e+07,E,f
Production (t) (5510),Alfalfa for forage and silage (01912),France (250),2012,1.4e+07,E,f
Production (t) (5510),Alfalfa for forage and silage (01912),France (250),2013,1.4e+07,E,f
Production (t) (5510),Alfalfa for forage and silage (01912),France (250),2014,1.4e+07,E,f
Production (t) (5510),Alfalfa for forage and silage (01912),France (250),2019,1.4e+07,E,t
Production (t) (5510),Alfalfa for forage and silage (01912),France (250),2020,1.4e+07,E,t
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),1990,30094608,"",-
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),1991,30366496,"",-
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),1992,30766496,"",-
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),1993,29850400,"",-
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),1994,29271600,"",-
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),1995,27858100,"",-
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),1996,27349000,"",-
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),1997,27573200,"",-
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),1998,28455200,"",-
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),1999,27685900,"",-
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),2000,25662700,"",-
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),2001,24378100,"",-
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),2002,26226100,"",-
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),2003,19557800,"",-
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),2004,25163900,"",-
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),2005,25924100,"",-
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),2006,24742900,"",-
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),2007,23479500,"",-
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),2008,22596100,"",-
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),2009,21924200,"",-
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),2010,21956200,"",-
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),2011,19835800,"",-
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),2012,15142100,"",q
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),2013,18389700,"",q
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),2014,19342200,"",q
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),2015,17255600,"",q
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),2016,20880700,"",q
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),2017,16777300,"",q
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),2018,29257910,"",h
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),2019,31564850,"",h
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),2020,32138510,"",h
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),2021,27775180,"",h
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),2022,23448810,"",h
Production (t) (5510),Alfalfa for forage and silage (01912),Italy (380),2023,23205480,"",h
Production (t) (5510),"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets (01913)",Italy (380),1990,16122000,"",-
Production (t) (5510),"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets (01913)",Italy (380),1991,18176704,"",-
Production (t) (5510),"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets (01913)",Italy (380),1992,18429000,"",-
Production (t) (5510),"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets (01913)",Italy (380),1993,16647000,"",-
Production (t) (5510),"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets (01913)",Italy (380),1994,15906600,T,-
Production (t) (5510),"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets (01913)",Italy (380),1995,15635600,T,-
Production (t) (5510),"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets (01913)",Italy (380),1996,15864300,T,-
Production (t) (5510),"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets (01913)",Italy (380),1997,13687000,T,-
Production (t) (5510),"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets (01913)",Italy (380),1998,16681200,T,-
Production (t) (5510),"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets (01913)",Italy (380),1999,1.6e+07,E,f
Production (t) (5510),"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets (01913)",Italy (380),2000,1.6e+07,E,f
Production (t) (5510),"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets (01913)",Italy (380),2001,1.6e+07,E,f
Production (t) (5510),"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets (01913)",Italy (380),2002,1.6e+07,E,f
Production (t) (5510),"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets (01913)",Italy (380),2003,1.6e+07,E,f
Production (t) (5510),"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets (01913)",Italy (380),2004,1.6e+07,E,f
Production (t) (5510),"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets (01913)",Italy (380),2005,1.6e+07,E,f
Production (t) (5510),"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets (01913)",Italy (380),2006,1.6e+07,E,f
Production (t) (5510),"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets (01913)",Italy (380),2007,1.6e+07,E,f
Production (t) (5510),"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets (01913)",Italy (380),2008,1.6e+07,E,f
Production (t) (5510),"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets (01913)",Italy (380),2009,1.6e+07,E,f
Production (t) (5510),"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets (01913)",Italy (380),2010,1.6e+07,E,f
Production (t) (5510),"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets (01913)",Italy (380),2011,1.6e+07,E,f
Production (t) (5510),"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets (01913)",Italy (380),2012,1.6e+07,E,f
Production (t) (5510),"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets (01913)",Italy (380),2013,1.6e+07,E,f
Production (t) (5510),"Sorghum, for forage (01919.01)",France (250),1990,397200,"",-
Production (t) (5510),"Sorghum, for forage (01919.01)",France (250),1991,476200,"",-
Production (t) (5510),"Sorghum, for forage (01919.01)",France (250),1992,539000,"",-
Production (t) (5510),"Sorghum, for forage (01919.01)",France (250),1993,5e+05,"",-
Production (t) (5510),"Sorghum, for forage (01919.01)",France (250),1994,443500,"",-
Production (t) (5510),"Sorghum, for forage (01919.01)",France (250),1995,377100,"",-
Production (t) (5510),"Sorghum, for forage (01919.01)",France (250),1996,372700,"",-
Production (t) (5510),"Sorghum, for forage (01919.01)",France (250),1997,458000,"",-
Production (t) (5510),"Sorghum, for forage (01919.01)",France (250),1998,385000,"",-
Production (t) (5510),"Sorghum, for forage (01919.01)",France (250),1999,423000,"",-
Production (t) (5510),"Sorghum, for forage (01919.01)",France (250),2000,421000,"",-
Production (t) (5510),"Sorghum, for forage (01919.01)",France (250),2001,392000,"",-
Production (t) (5510),"Sorghum, for forage (01919.01)",France (250),2002,404000,"",-
Production (t) (5510),"Sorghum, for forage (01919.01)",France (250),2003,268000,"",-
Production (t) (5510),"Sorghum, for forage (01919.01)",France (250),2004,385000,"",-
Production (t) (5510),"Sorghum, for forage (01919.01)",France (250),2005,322700,"",-
Production (t) (5510),"Sorghum, for forage (01919.01)",France (250),2006,335705,"",-
Production (t) (5510),"Sorghum, for forage (01919.01)",France (250),2007,345000,E,f
Production (t) (5510),"Sorghum, for forage (01919.01)",France (250),2008,352000,E,f
Production (t) (5510),"Sorghum, for forage (01919.01)",France (250),2009,360000,E,f
Production (t) (5510),"Sorghum, for forage (01919.01)",France (250),2010,370000,E,f
Production (t) (5510),"Sorghum, for forage (01919.01)",France (250),2011,370000,E,f
Production (t) (5510),"Sorghum, for forage (01919.01)",France (250),2012,370000,E,f
Production (t) (5510),"Sorghum, for forage (01919.01)",France (250),2013,370000,E,f
Production (t) (5510),"Sorghum, for forage (01919.01)",France (250),2014,370000,E,f
Production (t) (5510),"Sorghum, for forage (01919.01)",France (250),2019,370000,E,t
Production (t) (5510),"Sorghum, for forage (01919.01)",France (250),2020,370000,E,t
Production (t) (5510),"Sorghum, for forage (01919.01)",Italy (380),1990,534400,"",-
Production (t) (5510),"Sorghum, for forage (01919.01)",Italy (380),1991,496000,"",-
Production (t) (5510),"Sorghum, for forage (01919.01)",Italy (380),1992,520000,"",-
Production (t) (5510),"Sorghum, for forage (01919.01)",Italy (380),1993,482900,"",-
Production (t) (5510),"Sorghum, for forage (01919.01)",Italy (380),1994,324500,"",-
Production (t) (5510),"Sorghum, for forage (01919.01)",Italy (380),1995,293200,"",-
Production (t) (5510),"Sorghum, for forage (01919.01)",Italy (380),1996,280000,E,f
Production (t) (5510),"Sorghum, for forage (01919.01)",Italy (380),1997,280000,E,f
Production (t) (5510),"Sorghum, for forage (01919.01)",Italy (380),1998,280000,E,f
Production (t) (5510),"Sorghum, for forage (01919.01)",Italy (380),1999,290000,E,f
Production (t) (5510),"Sorghum, for forage (01919.01)",Italy (380),2000,3e+05,E,f
Production (t) (5510),"Sorghum, for forage (01919.01)",Italy (380),2001,3e+05,E,f
Production (t) (5510),"Sorghum, for forage (01919.01)",Italy (380),2002,3e+05,E,f
Production (t) (5510),"Sorghum, for forage (01919.01)",Italy (380),2003,3e+05,E,f
Production (t) (5510),"Sorghum, for forage (01919.01)",Italy (380),2004,3e+05,E,f
Production (t) (5510),"Sorghum, for forage (01919.01)",Italy (380),2005,320000,E,f
Production (t) (5510),"Sorghum, for forage (01919.01)",Italy (380),2006,330000,E,f
Production (t) (5510),"Sorghum, for forage (01919.01)",Italy (380),2007,340000,E,f
Production (t) (5510),"Sorghum, for forage (01919.01)",Italy (380),2008,343000,E,f
Production (t) (5510),"Sorghum, for forage (01919.01)",Italy (380),2009,347000,E,f
Production (t) (5510),"Sorghum, for forage (01919.01)",Italy (380),2010,345000,E,f
Production (t) (5510),"Sorghum, for forage (01919.01)",Italy (380),2011,345000,E,f
Production (t) (5510),"Sorghum, for forage (01919.01)",Italy (380),2012,350000,E,f
Production (t) (5510),"Sorghum, for forage (01919.01)",Italy (380),2013,352000,E,f
Production (t) (5510),"Sorghum, for forage (01919.01)",Italy (380),2019,352000,E,t
Production (t) (5510),"Sorghum, for forage (01919.01)",Italy (380),2020,352000,E,t
Production (t) (5510),"Rye grass, for forage (01919.02)",France (250),1990,19195000,T,-
Production (t) (5510),"Rye grass, for forage (01919.02)",France (250),1991,25525000,T,-
Production (t) (5510),"Rye grass, for forage (01919.02)",France (250),1992,30860000,T,-
Production (t) (5510),"Rye grass, for forage (01919.02)",France (250),1993,30450000,T,-
Production (t) (5510),"Rye grass, for forage (01919.02)",France (250),1994,31540000,T,-
Production (t) (5510),"Rye grass, for forage (01919.02)",France (250),1995,27590000,T,-
Production (t) (5510),"Rye grass, for forage (01919.02)",France (250),1996,26385000,T,-
Production (t) (5510),"Rye grass, for forage (01919.02)",France (250),1997,27680000,T,-
Production (t) (5510),"Rye grass, for forage (01919.02)",France (250),1998,31141000,T,-
Production (t) (5510),"Rye grass, for forage (01919.02)",France (250),1999,32807000,T,-
Production (t) (5510),"Rye grass, for forage (01919.02)",France (250),2000,32809000,T,-
Production (t) (5510),"Rye grass, for forage (01919.02)",France (250),2001,22408800,T,-
Production (t) (5510),"Rye grass, for forage (01919.02)",France (250),2002,22138300,T,-
Production (t) (5510),"Rye grass, for forage (01919.02)",France (250),2003,16461170,T,-
Production (t) (5510),"Rye grass, for forage (01919.02)",France (250),2004,21522700,T,-
Production (t) (5510),"Rye grass, for forage (01919.02)",France (250),2005,18039200,T,-
Production (t) (5510),"Rye grass, for forage (01919.02)",France (250),2006,20274000,E,f
Production (t) (5510),"Rye grass, for forage (01919.02)",France (250),2007,20400000,E,f
Production (t) (5510),"Rye grass, for forage (01919.02)",France (250),2008,20400000,E,f
Production (t) (5510),"Rye grass, for forage (01919.02)",France (250),2009,20400000,E,f
Production (t) (5510),"Rye grass, for forage (01919.02)",France (250),2010,20400000,E,f
Production (t) (5510),"Rye grass, for forage (01919.02)",France (250),2011,20400000,E,f
Production (t) (5510),"Rye grass, for forage (01919.02)",France (250),2012,20400000,E,f
Production (t) (5510),"Rye grass, for forage (01919.02)",France (250),2013,20400000,E,f
Production (t) (5510),"Rye grass, for forage (01919.02)",France (250),2014,20400000,E,f
Production (t) (5510),"Rye grass, for forage (01919.02)",France (250),2019,20400000,E,t
Production (t) (5510),"Rye grass, for forage (01919.02)",France (250),2020,20400000,E,t
Production (t) (5510),"Clover, for forage (01919.03)",France (250),1990,1805000,T,-
Production (t) (5510),"Clover, for forage (01919.03)",France (250),1991,1920000,T,-
Production (t) (5510),"Clover, for forage (01919.03)",France (250),1992,2125000,T,-
Production (t) (5510),"Clover, for forage (01919.03)",France (250),1993,2260000,T,-
Production (t) (5510),"Clover, for forage (01919.03)",France (250),1994,2035000,T,-
Production (t) (5510),"Clover, for forage (01919.03)",France (250),1995,1710000,T,-
Production (t) (5510),"Clover, for forage (01919.03)",France (250),1996,1625000,T,-
Production (t) (5510),"Clover, for forage (01919.03)",France (250),1997,1587000,T,-
Production (t) (5510),"Clover, for forage (01919.03)",France (250),1998,1561000,T,-
Production (t) (5510),"Clover, for forage (01919.03)",France (250),1999,1633000,T,-
Production (t) (5510),"Clover, for forage (01919.03)",France (250),2000,1668000,T,-
Production (t) (5510),"Clover, for forage (01919.03)",France (250),2001,1282650,T,-
Production (t) (5510),"Clover, for forage (01919.03)",France (250),2002,1299870,T,-
Production (t) (5510),"Clover, for forage (01919.03)",France (250),2003,1109792,T,-
Production (t) (5510),"Clover, for forage (01919.03)",France (250),2004,1330000,T,-
Production (t) (5510),"Clover, for forage (01919.03)",France (250),2005,1322745,T,-
Production (t) (5510),"Clover, for forage (01919.03)",France (250),2006,1432205,"",-
Production (t) (5510),"Clover, for forage (01919.03)",France (250),2007,1435000,E,f
Production (t) (5510),"Clover, for forage (01919.03)",France (250),2008,1500000,E,f
Production (t) (5510),"Clover, for forage (01919.03)",France (250),2009,1550000,E,f
Production (t) (5510),"Clover, for forage (01919.03)",France (250),2010,1550000,E,f
Production (t) (5510),"Clover, for forage (01919.03)",France (250),2011,1550000,E,f
Production (t) (5510),"Clover, for forage (01919.03)",France (250),2012,1550000,E,f
Production (t) (5510),"Clover, for forage (01919.03)",France (250),2013,1550000,E,f
Production (t) (5510),"Clover, for forage (01919.03)",France (250),2014,1550000,E,f
Production (t) (5510),"Clover, for forage (01919.03)",France (250),2019,1550000,E,t
Production (t) (5510),"Clover, for forage (01919.03)",France (250),2020,1550000,E,t
Production (t) (5510),"Clover, for forage (01919.03)",Italy (380),1990,6304100,"",-
Production (t) (5510),"Clover, for forage (01919.03)",Italy (380),1991,5227800,"",-
Production (t) (5510),"Clover, for forage (01919.03)",Italy (380),1992,3725400,"",-
Production (t) (5510),"Clover, for forage (01919.03)",Italy (380),1993,3269400,"",-
Production (t) (5510),"Clover, for forage (01919.03)",Italy (380),1994,3040800,"",-
Production (t) (5510),"Clover, for forage (01919.03)",Italy (380),1995,2899100,"",-
Production (t) (5510),"Clover, for forage (01919.03)",Italy (380),1996,2768200,"",-
Production (t) (5510),"Clover, for forage (01919.03)",Italy (380),1997,2846700,"",-
Production (t) (5510),"Clover, for forage (01919.03)",Italy (380),1998,0,M,-
Production (t) (5510),"Clover, for forage (01919.03)",Italy (380),1999,0,M,-
Production (t) (5510),"Clover, for forage (01919.03)",Italy (380),2000,0,M,-
Production (t) (5510),"Clover, for forage (01919.03)",Italy (380),2001,0,M,-
Production (t) (5510),"Clover, for forage (01919.03)",Italy (380),2002,0,M,-
Production (t) (5510),"Clover, for forage (01919.03)",Italy (380),2003,0,M,-
Production (t) (5510),"Clover, for forage (01919.03)",Italy (380),2004,0,M,-
Production (t) (5510),"Clover, for forage (01919.03)",Italy (380),2005,0,M,-
Production (t) (5510),"Clover, for forage (01919.03)",Italy (380),2006,0,M,-
Production (t) (5510),"Clover, for forage (01919.03)",Italy (380),2007,0,M,-
Production (t) (5510),"Clover, for forage (01919.03)",Italy (380),2008,0,M,-
Production (t) (5510),"Clover, for forage (01919.03)",Italy (380),2009,0,M,-
Production (t) (5510),"Clover, for forage (01919.03)",Italy (380),2010,0,M,-
Production (t) (5510),"Clover, for forage (01919.03)",Italy (380),2011,0,M,-
Production (t) (5510),"Clover, for forage (01919.03)",Italy (380),2012,0,M,-
